Tarih,Saat,Toplam (MWh),Dogal Gaz,Baraj,Linyit,Akarsu,ithal Kömür,Rüzgar,Günes,Fuel Oil,Jeotermal,Asfaltit Kömür,Tas Kömür,Biyokütle,Nafta,LNG,Uluslararasi
01.01.2021,00:00,29396.62,7083.97,1551.39,5256.89,686.07,7673.92,4836.19,0,33.2,1238.01,218.59,603.87,578.72,0,0,-364.2
01.01.2021,01:00,27974.48,6072.81,1387.63,5121.95,703.9,7530.56,4826.45,0,34,1244.05,223,599.09,577.04,0,0,-346
01.01.2021,02:00,26437.12,4878.19,1507.96,5110.55,667.26,6979.91,4750.11,0,30.3,1246.75,223,603.49,581.6,0,0,-142
01.01.2021,03:00,25236.23,4394.61,1652.86,5029.12,651.91,6536.85,4432.18,0,30.8,1248.66,220.79,603.81,579.64,0,0,-145
01.01.2021,04:00,24627.73,4191.38,1615.38,5012.93,670.94,6266.92,4321.98,0,31.4,1246.97,220.8,602.66,583.37,0,0,-137
01.01.2021,05:00,24541.07,4191.29,1486.47,5004.38,735.99,6244.92,4347,0,30.9,1249.19,220.79,585.82,576.32,0,0,-132
01.01.2021,06:00,24605.8,4233.74,1453.02,4990.33,854.61,6531.52,4004.25,0.38,33,1247.74,220.8,591.87,576.54,0,0,-132
01.01.2021,07:00,24894.95,4339.39,1581.99,4968.36,860.94,6780.6,3787.43,13.45,33.5,1253.78,223,602.53,570.42,0,0,-120.44
01.01.2021,08:00,24460.27,4147.79,1219.49,4966.5,850.25,6742.67,3949.16,66.69,33,1255.58,216.38,608.35,588.59,0,0,-184.18
01.01.2021,09:00,24600.19,4528.66,1200.57,4923.38,762.47,6570.11,3819.87,167.6,31.1,1252.31,220.79,604.85,594.71,0,0,-76.23
01.01.2021,10:00,25105.8,4826.29,1560.1,4902.71,785.32,6678.12,3265.61,233.26,33.5,1246.15,225.21,596.94,587.79,0,0,164.8
01.01.2021,11:00,26337.7,5255.85,2540.2,4875.13,931.4,6762.37,3086.05,259.24,31.2,1229.28,218.59,586.64,591.12,0,0,-29.37
01.01.2021,12:00,26397.64,5010.3,3021.33,4892.43,953.6,6868.36,2843.05,258.27,31.6,1221.13,223,576.51,591.2,0,0,-93.14
01.01.2021,13:00,27080.68,5489.99,3078.11,4869.67,957.8,7231,2719.18,230.41,33.9,1215.03,220.79,607.56,596.09,0,0,-168.85
01.01.2021,14:00,27754.15,6566.21,2848.43,4893.85,899.03,7256.48,2527.7,172.98,30.5,1209.45,218.59,611.79,588.34,0,0,-69.2
01.01.2021,15:00,28498.55,7574.38,2989.4,4911.54,965.7,7209.53,2111.38,124.41,30.3,1205.18,220.79,607.46,576.68,0,0,-28.2
01.01.2021,16:00,29810.93,8574.49,3212.66,4939.64,972.35,7835.63,1689.72,39.23,36.5,1215.27,223,616.79,586.13,0,0,-130.48
